                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.48011,                0.41107,                 1.0187,                0.96794,                0.99032,                0.99322,                0.94731,                0.34795,                0.26753,                0.92274,              0.0083566,              0.0083566,              0.0083566
                     85,                0.48419,                0.43787,                 1.0097,                0.98021,                0.97709,                0.99281,                0.94487,                0.34317,                0.27581,                0.91176,              0.0083368,              0.0083368,              0.0083368
                     86,                0.47537,                0.40921,                  1.002,                0.97792,                0.96958,                 0.9914,                0.95109,                0.33732,                0.27803,                0.90799,               0.008317,               0.008317,               0.008317
                     87,                0.47342,                0.44919,                 1.0197,                0.95479,                0.96023,                0.98867,                0.93255,                0.36904,                 0.3695,                0.93577,              0.0082972,              0.0082972,              0.0082972
                     88,                0.45777,                0.39803,                0.99814,                0.98075,                0.96047,                0.99192,                 0.9374,                0.35361,                0.30765,                 0.9222,              0.0082774,              0.0082774,              0.0082774
                     89,                0.48199,                0.41598,                 1.0179,                 0.9718,                0.96843,                0.99279,                0.94042,                0.33512,                 0.2972,                0.90589,              0.0082576,              0.0082576,              0.0082576
                     90,                0.46284,                0.41043,                 1.0006,                0.95826,                0.97304,                0.99108,                0.94181,                 0.3343,                0.27481,                0.89986,              0.0082378,              0.0082378,              0.0082378
                     91,                0.46057,                0.39985,                 1.0125,                0.97393,                0.98328,                 0.9931,                 0.9528,                0.32382,                0.26804,                0.89465,               0.008218,               0.008218,               0.008218
                     92,                0.47175,                 0.4177,                 1.0172,                0.96959,                0.99488,                0.98838,                0.94203,                0.33284,                0.26844,                0.89846,              0.0081982,              0.0081982,              0.0081982
                     93,                0.48029,                0.42105,                 1.0104,                0.98468,                 0.9733,                0.99289,                0.95512,                0.32112,                 0.2545,                0.88702,              0.0081784,              0.0081784,              0.0081784
                     94,                0.44448,                0.39415,                0.99227,                0.97084,                0.97948,                0.99298,                0.94996,                0.33199,                0.27994,                 0.8982,              0.0081586,              0.0081586,              0.0081586
                     95,                0.44955,                0.39695,                0.98274,                0.97227,                0.98041,                0.99268,                0.94412,                0.34831,                0.28168,                0.92099,              0.0081388,              0.0081388,              0.0081388
                     96,                0.45383,                 0.4102,                 1.0136,                0.98397,                0.96945,                0.99226,                 0.9399,                0.35964,                0.28626,                0.92896,               0.008119,               0.008119,               0.008119
                     97,                0.46497,                0.39821,                 1.0016,                 0.9803,                0.98027,                0.99285,                0.94854,                0.32654,                  0.268,                0.90381,              0.0080992,              0.0080992,              0.0080992
                     98,                0.45934,                0.40779,                0.99629,                0.99046,                0.95747,                0.99179,                0.94081,                0.34857,                0.29172,                0.93088,              0.0080794,              0.0080794,              0.0080794
                     99,                0.45406,                0.41497,                 1.0016,                0.94946,                0.98266,                0.99188,                0.94661,                 0.3361,                0.28102,                0.90427,              0.0080596,              0.0080596,              0.0080596
                    100,                0.46858,                0.41019,                 1.0141,                0.96485,                0.95001,                0.98786,                0.94431,                0.32881,                0.30367,                0.89782,              0.0080398,              0.0080398,              0.0080398
                    101,                0.46062,                0.38763,                0.99981,                0.98196,                0.96425,                0.99291,                0.94932,                0.33596,                0.27358,                0.90929,                0.00802,                0.00802,                0.00802
                    102,                0.45147,                0.39635,                  1.001,                0.95868,                 0.9825,                0.99223,                   0.95,                0.33423,                0.28939,                0.90588,              0.0080002,              0.0080002,              0.0080002
                    103,                 0.4605,                0.38386,                 1.0022,                0.95847,                0.99638,                0.99256,                 0.9486,                0.31873,                0.25932,                0.89869,              0.0079804,              0.0079804,              0.0079804
                    104,                0.45537,                0.38235,                0.98773,                0.96915,                0.98085,                0.99321,                0.95133,                0.31357,                0.25955,                 0.8887,              0.0079606,              0.0079606,              0.0079606
                    105,                0.46023,                0.40174,                 1.0161,                0.97412,                0.96016,                0.99079,                0.94989,                 0.3266,                0.26104,                0.89537,              0.0079408,              0.0079408,              0.0079408
                    106,                0.44083,                0.38634,                0.98874,                0.96068,                0.99189,                0.99212,                0.95467,                0.31739,                0.25157,                0.89233,               0.007921,               0.007921,               0.007921
                    107,                0.45391,                0.41687,                0.99307,                0.96989,                0.98224,                0.99296,                0.95725,                0.32267,                0.25567,                0.89161,              0.0079012,              0.0079012,              0.0079012
                    108,                0.46779,                0.38974,                0.99357,                0.98408,                0.97282,                0.99219,                0.95886,                0.30868,                0.25508,                0.87757,              0.0078814,              0.0078814,              0.0078814
                    109,                0.42615,                0.36996,                0.98432,                0.98207,                0.98325,                0.99279,                 0.9519,                0.32081,                0.25415,                0.90154,              0.0078616,              0.0078616,              0.0078616
                    110,                0.43405,                0.38058,                0.98752,                0.97297,                0.98628,                 0.9923,                0.96061,                0.30535,                0.25035,                0.87758,              0.0078418,              0.0078418,              0.0078418
                    111,                0.43645,                0.36733,                0.98522,                0.96556,                 0.9914,                0.99282,                0.95073,                0.31804,                0.25922,                0.89419,               0.007822,               0.007822,               0.007822
                    112,                0.43491,                0.36338,                0.98945,                0.97473,                0.98575,                0.99335,                0.95429,                0.31613,                0.25608,                0.88926,              0.0078022,              0.0078022,              0.0078022
                    113,                0.45648,                0.37772,                 1.0004,                0.97266,                0.99229,                0.99355,                 0.9521,                0.32938,                0.26079,                0.90205,              0.0077824,              0.0077824,              0.0077824
                    114,                0.44046,                0.36665,                0.99486,                0.97158,                0.98185,                0.99083,                0.95432,                0.31666,                0.26574,                0.88953,              0.0077626,              0.0077626,              0.0077626
                    115,                0.42798,                0.35905,                0.97858,                0.96237,                 0.9978,                0.98752,                0.95497,                0.30286,                0.24341,                0.87628,              0.0077428,              0.0077428,              0.0077428
                    116,                 0.4082,                0.35093,                0.96972,                0.97889,                0.98194,                0.99163,                0.95821,                0.29899,                0.24862,                0.87463,               0.007723,               0.007723,               0.007723
                    117,                 0.4416,                0.38741,                      1,                0.98976,                0.96876,                 0.9924,                0.96002,                0.30371,                0.25082,                0.87586,              0.0077032,              0.0077032,              0.0077032
                    118,                0.43102,                0.35573,                0.98662,                0.98827,                0.97594,                0.99266,                0.95489,                0.33009,                0.25485,                0.90904,              0.0076834,              0.0076834,              0.0076834
                    119,                0.44079,                0.35862,                0.98789,                0.98849,                0.98037,                0.99336,                0.95937,                0.31112,                0.27299,                0.89135,              0.0076636,              0.0076636,              0.0076636
                    120,                0.41786,                0.35748,                0.98976,                 0.9845,                0.97563,                0.99322,                0.95719,                0.30436,                0.24592,                0.87885,              0.0076438,              0.0076438,              0.0076438
                    121,                0.43553,                0.35505,                0.98476,                0.98197,                0.98446,                0.99263,                0.96089,                0.30165,                0.23647,                0.87511,               0.007624,               0.007624,               0.007624
                    122,                0.42917,                0.35952,                0.97559,                 0.9829,                0.96886,                0.99222,                0.95192,                0.31348,                0.25227,                0.88854,              0.0076042,              0.0076042,              0.0076042
                    123,                0.43192,                0.36377,                 1.0004,                0.96318,                0.97043,                0.99131,                0.93867,                0.35408,                0.28407,                0.92888,              0.0075844,              0.0075844,              0.0075844
                    124,                  0.433,                0.36411,                0.98136,                0.97423,                  0.984,                0.99078,                0.95743,                0.29526,                0.24177,                 0.8766,              0.0075646,              0.0075646,              0.0075646
                    125,                0.41766,                0.36358,                0.97826,                0.96961,                0.98955,                0.98924,                0.95442,                0.28912,                 0.2391,                0.86818,              0.0075448,              0.0075448,              0.0075448
                    126,                0.40884,                0.36493,                0.96585,                0.97077,                0.98595,                0.99221,                 0.9605,                 0.2917,                0.23911,                 0.8686,               0.007525,               0.007525,               0.007525
                    127,                0.40385,                0.35722,                0.97001,                0.97557,                0.99063,                0.99188,                0.96503,                0.28438,                0.23548,                  0.858,              0.0075052,              0.0075052,              0.0075052
                    128,                0.41834,                0.35404,                 0.9768,                 0.9595,                0.99269,                  0.992,                0.95752,                0.30818,                0.24989,                0.88319,              0.0074854,              0.0074854,              0.0074854
                    129,                0.41515,                0.35522,                0.98097,                0.98785,                0.97605,                0.99322,                   0.95,                 0.3172,                0.25142,                0.88961,              0.0074656,              0.0074656,              0.0074656
                    130,                  0.413,                0.34835,                 0.9787,                0.96492,                0.98329,                0.99295,                0.95621,                0.30478,                0.24257,                0.87742,              0.0074458,              0.0074458,              0.0074458
                    131,                0.41933,                0.33785,                0.98169,                0.97621,                0.98765,                0.99229,                0.95533,                0.30031,                0.24731,                0.87461,               0.007426,               0.007426,               0.007426
                    132,                0.40263,                0.34741,                0.96736,                0.97398,                0.97891,                0.99213,                 0.9607,                0.29421,                0.23475,                0.87281,              0.0074062,              0.0074062,              0.0074062
                    133,                0.40721,                0.33152,                0.98114,                0.98944,                0.96338,                0.99173,                0.96046,                0.28446,                0.24724,                0.86584,              0.0073864,              0.0073864,              0.0073864
                    134,                0.42942,                0.35874,                0.98104,                0.96424,                 0.9935,                0.99284,                0.96373,                0.28535,                0.23108,                0.86813,              0.0073666,              0.0073666,              0.0073666
